name,stars,user_review
Mango Importado 1 Unidad,1,No habia
Nectarin Fresh Garden 907 g,1,Mi pedido vino con algunas vencidas
Albahaca Atado,1,Pedi albahscs y me trajeron perejil
Banana Ecuador,1,Pasada
Aguacate Verde Horti Fresh 1 Unidad,1,Podrido
Picaña Tapa De Cuadril Congelado Finka Food 500 g,1,Me falta 1 carne
Aguacate Verde Horti Fresh 1 Unidad,1,Está demasiado verde y duro
Mondongo De Res Fresca 2 lb,1,Lo único que pusieron que la libra estaba 50 peso y aquí llegó otra libra
Aguacate Verde Horti Fresh 1 Unidad,1,no está fresco está verde y feo
Masita De Costilla Congelada Nutriciosa Ahumada 453 g,1,No tenia fecha de vencimiento y sabía mal
Palta Importada Chilena 1 Unidad,1,No se puede comer.  Está súper verde
Palomilla En Bloque Fresco Empacado,1,No vino
Masita De Costilla Congelada Nutriciosa Ahumada 453 g,1,No es lo que esperaba
Tomate Perita Selección 500 g,1,"De selección no tiene nada, re verdes"
Papaya Lechoza 1 Unidad,1,"La lechoza llegó mala, ya pudriendose."
Alas Frescas De Pollo,1,No hay
Falda De Novillo,1,La parte de la grasa verde
Ciruela Mediana 1 Unidad,1,Pedí 4 ciruelas y solo me pusieron 3 y super pequeñas 😔
Tomate Buy & Eat Cherry 250 g,1,Machucados
Güisquil Bandeja 2 Unidades,1,Pollo pedi la bandeja de 3.25 lb y me mandan una bandeja de 2 pechugas
Tomate 1 kg,1,No venía el tomate
Tomate Cherry Organico 300 g,1,Llegaron con hongos
Masita De Costilla Congelada Nutriciosa Ahumada 453 g,1,No me llegó y me lo cobraron.
Chicken Nuggets 1 lb,1,Lo mismo que lo anterior
Boniato Criollo En Malla,1,la imagen es el boniato zanahoria compré pensando que era ese y me llegó el otro deberían poner la imagen del que es realmente
Mano De Banano Exportación 1 kg,1,Me llegó dañado
Cebolla Amarilla Nacional 1 lb,1,Venía dañada
Filete De Pechuga Familiar Toledano Empacada 1.55 kg,1,Alto precio
Lomo Costillon Deli por Media Libra,1,Faltaron productos más carne
Pechuga De Pollo Deshuesada Pio Lindo 1 lb,1,No está fresco
Pechuga De Pollo Deshuesada Pio Lindo 1 lb,1,No está fresco
Paleta Churrasco Fresca Al Vacío Novillo,1,Dice churrasco y está fileteado fini
Limon Nacional Selección,1,El limón estaba en mal estado
Churrasquito De Cerdo Al Vacío Fresco,1,La carne está vencida!
Limón Sutil Malla 500 g,1,Cáscara seca
Matambre Envasado Al Vacío,1,"Estaba podrido. En cuanto lo abri salio un olor horrible, lo tuve que tirar por completo"
Masita De Costilla Congelada Nutriciosa Ahumada 453 g,1,No llego
Carne Bistec De Res Mapri Congelda 1 lb,1,Congelada
Pimiento Rojo,1,Podrido
Mango Importado 1 Unidad,1,Demasiado pequeño.
Naranja Ombligo Importada Egipto 1 Unidad,1,"Como van a vender 9mil pesos el kg de naranja. Creí que se habían equivocado y era 1 kg. No 1 unidad. Encima dije bueno por lo menos va a ser la mejor naranja que comi, y es desabrida. Horrible"
Uva Red Globe Bandeja 500 g,1,Parecen de plastico
Cuadrada Feteada Fresca Al Vacío Novillo,1,"Me trajeron más de lo que pedí , me cobraron casi 5000 más pero lo último era pura grasa"
Paleta Churrasco Fresca Al Vacío Novillo,1,Me cobraron y no lo trajeron
Papa Lavada Blanca Selección,1,No esta fresca
Uva Red Globe Bandeja 500 g,1,No lo entregaron
Filetes De Pollo Sofia Congelado En Bandeja 550 G,1,Llegó congelado
Plátano Maduro 1 kg,1,"No era un kilo, era un plátano y me lo cobraron como kilo"
Naranja Ombligo Importada Egipto 1 Unidad,1,Sin jugo seca
Naranja Ombligo Importada Egipto 1 Unidad,1,Llegó 1 unidad de naranja
Fresas Cerro Punta 275 g,1,Fresas en mal estado
Tomate 1 kg,1,Vienen aguados todos los tomates
Jengibre,1,Estaba descompuesto
Suprema De Pollo Fresca,1,No llegó
Naranja Ombligo Importada Egipto 1 Unidad,1,2 naranjas al precio de 1 kilo
Tomate Perita Selección 500 g,1,Marcados y aplastado
Manzana Royal Gala,1,Mal estado
Paleta Churrasco Fresca Al Vacío Novillo,1,No vino
Cebolla Especial,1,No me llegó la cebolla
Zapallito,1,No me llego
Mondongo De Res Fresca 2 lb,1,Salió malo hasta con gusanito 😩
Cebolla Selección 1 kg,1,Mal estado
Mano De Banano Exportación 1 kg,1,"Es la segunda vez que me envían guineos en mal estado, muy maduros y no son de exportación como dice en la app"
Zanahoria rallada Huella Natural 200 g.,1,Tiene feo olor
Papa Peruana,1,papa podrida
Cebolla De Verdeo 1 Atado,1,No trajo cebolla de verdeo
Papa Chola Malla Aprox 800 g,1,Medio verdes
Platano Maduro 1 Unidad,1,Vinieron verdes
Paleta Churrasco Fresca Al Vacío Novillo,1,No es churrasco está feteada que parece milanesa.
Naranja Ombligo Importada Egipto 1 Unidad,1,Muy seca
